,title,media,datetime,desc,link
0,"Stock Markets Today: Google, Partygate report, Federal Reserve, Russia",Bloomberg.com,2022-02-02 16:08:22.694897,"Good morning. Google's earnings beat estimates, Fed officials are saying 
not so fast, the U.S. dangles an offer to Russia and Johnson promises 
full...",https://www.bloomberg.com/news/newsletters/2022-02-02/stock-markets-today-google-partygate-report-federal-reserve-russia
1,Cryptocurrencies Surge Despite the Federal Reserve Thinking of Three Hikes in 2022,The Daily Hodl,2022-02-02 14:08:22.706791,"Last month as the Federal Reserve indicated that it might hike interest 
rates three times in 2022, the prices of major cryptocurrencies spiked.",https://dailyhodl.com/2022/02/01/cryptocurrencies-surge-despite-the-federal-reserve-thinking-of-three-hikes-in-2022/
2,Gold steady as Ukraine tensions counter Fed rate-hike bets,CNBC,2022-02-02 14:08:22.717732,"Gold was steady on Wednesday above the $1800 psychological level as 
concerns surrounding Ukraine supported the safe-haven metal.",https://www.cnbc.com/2022/02/02/gold-markets-ukraine-federal-reserve.html
3,Fed won’t be rushed in its hiking path by Wall Street frenzy,Mint,2022-02-02 10:08:22.728496,"Federal Reserve officials have a message for investors ramping up 2022 
interest-rate expectations: not so fast. None of six Fed officials speaking 
so far...",https://www.livemint.com/market/stock-market-news/fed-won-t-be-rushed-in-its-hiking-path-by-wall-street-frenzy-11643759776198.html
4,"As The Fed Outlines CBDC Principles, It Reveals Antithesis To Bitcoin",Bitcoin Magazine,2022-02-02 10:08:22.739350,"The Federal Reserve recently outlined its considerations for a U.S. CBDC, 
confirming that it would be diametrically opposed to Bitcoin.",https://bitcoinmagazine.com/markets/fed-cbdc-vision-is-opposed-to-bitcoin
5,Bitcoin And Digital Asset Regulation: What To Expect,Seeking Alpha,2022-02-02 08:08:22.750210,"In this article, we take a no-nonsense look at cryptocurrency regulations. 
Learn why new regulatory guidance will likely help, not hurt, the bitcoin...",https://seekingalpha.com/article/4483327-bitcoin-regulation-what-expect
6,"World Stocks Shrug Off Rate, Inflation Concerns",International Business Times,2022-02-02 08:08:22.761119,"Global stock markets held their ground on Tuesday as investors shrugged off 
concerns of higher interest rates in the face of high inflation,...",https://www.ibtimes.com/world-stocks-shrug-rate-inflation-concerns-3388007
7,"Biden Fed nominee's old tweets show she's 'hyper-partisan,' Republicans say",Fox Business,2022-02-02 17:08:22.763119,"President Biden's nominee for governor of the Federal Reserve, Lisa Cook, 
is a ""hyper-partisan"" who has a history of tweeting support for Democrats 
and the...",https://www.foxbusiness.com/politics/biden-fed-nominee-hyperpartisan-republicans
8,"As Fed sets stage for March rate hike, stock-market investors face 'perilous' backdrop of higher volatility",MarketWatch,2022-02-02 17:08:22.764655,"Investors, particularly those reliant on computer-generated decisions to 
buy or sell, face a dangerous backdrop of volatility driven by the Federal 
Reserve.",https://www.marketwatch.com/story/as-fed-sets-stage-for-march-rate-hike-stock-market-investors-face-perilous-backdrop-of-higher-volatility-11643752475
9,Climate change a rising Fed concern as nominees face hearing,AP News,2022-02-02 17:08:22.766136,"WASHINGTON (AP) — How far the Federal Reserve can go to compel banks to 
consider the consequences of climate change in their lending policies could 
take...",https://apnews.com/dea5b0c26fe7e07b28faf82e91342c85
